result_code,PRMS Result Code,Year,PRMS Short Title,Type,Result Status,Top 10 Innovations,In PRMS (for Top 10),Innovation Short Name,Cluster,Program,2025 ballpark USD investments - CG Bilaterals,2025 ballpark USD investments - Lead CG Science Program,2025 ballpark USD investments - Partner co-investment,2026 estimated pooled USD need for lead Science Program,2027 estimated pooled USD need for lead Science Program,input_text
12762,1099.0,2024.0,Integrated-approach with Public Private Partnerships and community-based engagement through stakeholder,Innovation development,Quality Assessed,,,,,,,,,,,Integrated-approach with Public Private Partnerships and community-based engagement through stakeholder
12763,1100.0,2024.0,Multidsciplinary working group (MWG) as a dedicated approach for building,Innovation development,Quality Assessed,,,,,,,,,,,Multidsciplinary working group (MWG) as a dedicated approach for building
12764,1102.0,2024.0,Sustainable rangeland management toolkit with a holistic and multidisciplinary approach,Innovation development,Quality Assessed,,,,,,,,,,,Sustainable rangeland management toolkit with a holistic and multidisciplinary approach
12765,1103.0,2024.0,Financial tool targeted to help pastoralists cope with drought related,Innovation development,Quality Assessed,,,,,,,,,,,Financial tool targeted to help pastoralists cope with drought related
12766,1105.0,2024.0,A digital decision support tool to help livestock farmers to,Innovation development,Quality Assessed,,,,,,,,,,,A digital decision support tool to help livestock farmers to
12767,1106.0,2024.0,Farmer-to-Farmer Scaling Networks for scaling climate adaptation technologies,Innovation development,Quality Assessed,,,,,,,,,,,Farmer-to-Farmer Scaling Networks for scaling climate adaptation technologies
12769,1111.0,2024.0,The Climate Security Observatory (CSO) for livestock production systems,Innovation development,Quality Assessed,,,,,,,,,,,The Climate Security Observatory (CSO) for livestock production systems
12770,1112.0,2024.0,Feed pellet production using a small-scale pelletizer and available agricultural,Innovation development,Quality Assessed,,,,,,,,,,,Feed pellet production using a small-scale pelletizer and available agricultural
12771,1116.0,2024.0,National food systems greenhouse gas emission profiles to help decision,Innovation development,Quality Assessed,,,,,,,,,,,National food systems greenhouse gas emission profiles to help decision
12776,1169.0,2024.0,"MyEiA platform: Comprehensive Use Case Management, Evidence Tracking, and Resource",Innovation development,Quality Assessed,,,,,,,,,,,"MyEiA platform: Comprehensive Use Case Management, Evidence Tracking, and Resource"
12777,1183.0,2024.0,Supporting diversification and climate resilience in coffee systems through improved,Innovation development,Quality Assessed,,,,,,,,,,,Supporting diversification and climate resilience in coffee systems through improved
12778,1185.0,2024.0,Sustainable intensification of cocoa production through the development and dissemination,Innovation development,Quality Assessed,,,,,,,,,,,Sustainable intensification of cocoa production through the development and dissemination
12780,1189.0,2024.0,RiceAdvice Lite - Digital Agronomy Advisory Tool for Site-Specific Fertilizer,Innovation development,Quality Assessed,,,,,,,,,,,RiceAdvice Lite - Digital Agronomy Advisory Tool for Site-Specific Fertilizer
12781,1226.0,2024.0,Supporting sustainable soybean production in Northern Ghana (SSPiNG) through improved,Innovation development,Quality Assessed,,,,,,,,,,,Supporting sustainable soybean production in Northern Ghana (SSPiNG) through improved
12782,1241.0,2024.0,Contributions of CGIAR center crop trait discovery and deployment portfolio,Innovation development,Quality Assessed,,,,,,,,,,,Contributions of CGIAR center crop trait discovery and deployment portfolio
12783,1242.0,2024.0,Availing digital advisory content through an easily searchable content hub,Innovation development,Quality Assessed,,,,,,,,,,,Availing digital advisory content through an easily searchable content hub
12785,1249.0,2024.0,Fostering the scaling of mechanised conservation agriculture by small farmers,Innovation development,Quality Assessed,,,,,,,,,,,Fostering the scaling of mechanised conservation agriculture by small farmers
12787,1261.0,2024.0,South Asia Drought Monitoring System (SADMS) platform supports national and,Innovation development,Quality Assessed,,,,,,,,,,,South Asia Drought Monitoring System (SADMS) platform supports national and
12788,1268.0,2024.0,"Improved soybean digitally mediated agronomic advisory to improve yields, soil",Innovation development,Quality Assessed,,,,,,,,,,,"Improved soybean digitally mediated agronomic advisory to improve yields, soil"
12790,1296.0,2024.0,The GANSO (GANaderia SOtenible or Sustainable Livestock) guarantee is a,Innovation development,Quality Assessed,,,,,,,,,,,The GANSO (GANaderia SOtenible or Sustainable Livestock) guarantee is a
12791,1300.0,2024.0,e-Agrology: A High-Frequency Monitoring System Enhancing Sustainable Agriculture and Livestock,Innovation development,Quality Assessed,,,,,,,,,,,e-Agrology: A High-Frequency Monitoring System Enhancing Sustainable Agriculture and Livestock
12793,1495.0,2024.0,Human-centered design for CGIAR and partners to enable more human-centered,Innovation development,Quality Assessed,,,,,,,,,,,Human-centered design for CGIAR and partners to enable more human-centered
12794,1508.0,2024.0,Installment of subnational innovation system that fosters knowledge exchange for,Innovation development,Quality Assessed,,,,,,,,,,,Installment of subnational innovation system that fosters knowledge exchange for
12795,1520.0,2024.0,Rural Household Multi-Indicator Survey (RHoMIS): A digital system for building,Innovation development,Quality Assessed,,,,,,,,,,,Rural Household Multi-Indicator Survey (RHoMIS): A digital system for building
12797,1593.0,2024.0,High-frequency diet quality data collection and mapping,Innovation development,Quality Assessed,,,,,,,,,,,High-frequency diet quality data collection and mapping
12798,1613.0,2024.0,Standard Protocol to develop gender-intentional target product profile design,Innovation development,Quality Assessed,,,,,,,,,,,Standard Protocol to develop gender-intentional target product profile design
12799,1617.0,2024.0,Tracking Adaptation in Livestock Systems (TAiLS): tool designed to enable,Innovation development,Quality Assessed,,,,,,,,,,,Tracking Adaptation in Livestock Systems (TAiLS): tool designed to enable
12801,1698.0,2024.0,Improved dual-purpose adaptive chicken strains for smallholder farmers in Ethiopia,Innovation development,Quality Assessed,,,,,,,,,,,Improved dual-purpose adaptive chicken strains for smallholder farmers in Ethiopia
12803,1754.0,2024.0,Diversity for Restoration (D4R) tool for Ghana: online catalogue and,Innovation development,Quality Assessed,,,,,,,,,,,Diversity for Restoration (D4R) tool for Ghana: online catalogue and
12804,1755.0,2024.0,Diversity for Restoration (D4R) tool for Lao People's Democratic Republic:,Innovation development,Quality Assessed,,,,,,,,,,,Diversity for Restoration (D4R) tool for Lao People's Democratic Republic:
12805,1777.0,2024.0,Modeling Service Center (MSC): providing long-term training to researchers across,Innovation development,Quality Assessed,,,,,,,,,,,Modeling Service Center (MSC): providing long-term training to researchers across
12806,1783.0,2024.0," Groundwater governance toolbox: Guidance on how to identify, adapt,",Innovation development,Quality Assessed,,,,,,,,,,," Groundwater governance toolbox: Guidance on how to identify, adapt,"
12807,1787.0,2024.0,"A unified data and research portal where researchers, public and",Innovation development,Quality Assessed,,,,,,,,,,,"A unified data and research portal where researchers, public and"
12808,1811.0,2024.0,Development of digital groundwater monitoring dashboard to enhance sustainable and,Innovation development,Quality Assessed,,,,,,,,,,,Development of digital groundwater monitoring dashboard to enhance sustainable and
12809,1818.0,2024.0,An innovative model for collaborating across CGIAR centers to facilitate,Innovation development,Quality Assessed,,,,,,,,,,,An innovative model for collaborating across CGIAR centers to facilitate
12810,1833.0,2024.0,Supporting smallholder farmers’ access to diversified seed systems for food,Innovation development,Quality Assessed,,,,,,,,,,,Supporting smallholder farmers’ access to diversified seed systems for food
12813,1874.0,2024.0,Biomass yield of tree lucerne at different cutting frequencies and,Innovation development,Quality Assessed,,,,,,,,,,,Biomass yield of tree lucerne at different cutting frequencies and
12818,1922.0,2024.0,Longa: An Artificial Intelligence-based audio analytics tool for identifying farmers',Innovation development,Quality Assessed,,,,,,,,,,,Longa: An Artificial Intelligence-based audio analytics tool for identifying farmers'
12819,1933.0,2024.0,Actionable drought forecasts for the transboundary natural resource management authorities,Innovation development,Quality Assessed,,,,,,,,,,,Actionable drought forecasts for the transboundary natural resource management authorities
12820,1935.0,2024.0,Digital Traceability: A biofortified rice traceability system for seed businesses,Innovation development,Quality Assessed,,,,,,,,,,,Digital Traceability: A biofortified rice traceability system for seed businesses
12822,1976.0,2024.0,"Protocol for exploring production, business conditions, and demand for rice",Innovation development,Quality Assessed,,,,,,,,,,,"Protocol for exploring production, business conditions, and demand for rice"
12823,2049.0,2024.0,Results from survey experiments published to improve the quality of,Innovation development,Quality Assessed,,,,,,,,,,,Results from survey experiments published to improve the quality of
12826,2101.0,2024.0,Integrated stock assessment modelling in digital fisheries monitoring for targeted,Innovation development,Quality Assessed,,,,,,,,,,,Integrated stock assessment modelling in digital fisheries monitoring for targeted
12828,2117.0,2024.0,Decision Support Tool for Right Sizing of Solar-powered Irrigation Pumps,Innovation development,Quality Assessed,,,,,,,,,,,Decision Support Tool for Right Sizing of Solar-powered Irrigation Pumps
12829,2119.0,2024.0,A dashboard that allows users to visualize the information on,Innovation use,Quality Assessed,,,,,,,,,,,A dashboard that allows users to visualize the information on
12830,2125.0,2024.0,"VarScout - digital ecosystem for collecting, monitoring, and visualizing plant",Innovation development,Quality Assessed,,,,,,,,,,,"VarScout - digital ecosystem for collecting, monitoring, and visualizing plant"
12832,2131.0,2024.0,Towards a One CGIAR germplasm licensing strategy to foster wide,Innovation development,Quality Assessed,,,,,,,,,,,Towards a One CGIAR germplasm licensing strategy to foster wide
12834,2155.0,2024.0,Micronutrient contribution modeling integrated with a near real-time fisheries monitoring,Innovation use,Quality Assessed,,,,,,,,,,,Micronutrient contribution modeling integrated with a near real-time fisheries monitoring
12835,2161.0,2024.0,A standardised quantitative methodology to locate data gaps in FishBase,Innovation development,Quality Assessed,,,,,,,,,,,A standardised quantitative methodology to locate data gaps in FishBase
12836,2168.0,2024.0,Methodology for analyzing data gaps and needs was developed to,Innovation development,Quality Assessed,,,,,,,,,,,Methodology for analyzing data gaps and needs was developed to
12837,2171.0,2024.0,Aquatic Food Ontology: providing a common language for aquatic foods,Innovation use,Quality Assessed,,,,,,,,,,,Aquatic Food Ontology: providing a common language for aquatic foods
12838,2175.0,2024.0,Metadata mining methodology to facilitate integration of databases for aquaculture,Innovation development,Quality Assessed,,,,,,,,,,,Metadata mining methodology to facilitate integration of databases for aquaculture
12839,2182.0,2024.0,Fish cage production in small reservoirs in Ghana to support,Innovation development,Quality Assessed,True,Yes,"Fish cage production in small reservoirs in Ghana to support the livelihoods and empowerment of empowerment of youth, women, and small-scale farmers",Sustainable Aquaculture and Fisheries Management,Sustainable Animal and Aquatic Foods , $                                  -, 60K, ,450k (Scaling in WCA countries),300k,Fish cage production in small reservoirs in Ghana to support
12840,2195.0,2024.0,Community Based Resource Management (CBRM) Training Package for coastal fisheries,Innovation development,Quality Assessed,,,,,,,,,,,Community Based Resource Management (CBRM) Training Package for coastal fisheries
12841,2200.0,2024.0,"DataScribe - a tool for creating standards-compliant, shareable agronomic survey",Innovation development,Quality Assessed,,,,,,,,,,,"DataScribe - a tool for creating standards-compliant, shareable agronomic survey"
12842,2220.0,2024.0,90 standard genebank operating procedures (SOPs) were drafted or updated,Innovation development,Quality Assessed,,,,,,,,,,,90 standard genebank operating procedures (SOPs) were drafted or updated
12843,2221.0,2024.0,Faster growing genetically improved silver carp (generation 2) produced in,Innovation development,Quality Assessed,,,,,,,,,,,Faster growing genetically improved silver carp (generation 2) produced in
12844,2226.0,2024.0,Successful protocol to break dormancy of Oryza glaberrima seeds incorporated,Innovation development,Quality Assessed,,,,,,,,,,,Successful protocol to break dormancy of Oryza glaberrima seeds incorporated
12845,2228.0,2024.0,Global agronomy database v. alpha to enable search of standardized,Innovation development,Quality Assessed,,,,,,,,,,,Global agronomy database v. alpha to enable search of standardized
12846,2229.0,2024.0,Faster growing genetically improved farmed tilapia (GIFT) generation 11 produced,Innovation development,Quality Assessed,,,,,,,,,,,Faster growing genetically improved farmed tilapia (GIFT) generation 11 produced
12849,2252.0,2024.0,"e-Agrology Central America (Guatemala, Honduras): Digital monitoring system for sustainable",Innovation development,Quality Assessed,,,,,,,,,,,"e-Agrology Central America (Guatemala, Honduras): Digital monitoring system for sustainable"
12851,2325.0,2024.0,Experimental tools for analyzing market intelligence demand and impacts on,Innovation development,Quality Assessed,,,,,,,,,,,Experimental tools for analyzing market intelligence demand and impacts on
12853,2336.0,2024.0,A digital survey approach for characterizing aquaculture systems and benchmarking,Innovation use,Quality Assessed,,,,,,,,,,,A digital survey approach for characterizing aquaculture systems and benchmarking
12854,2416.0,2024.0,Contribution of pollinators analysis method(s) to understand change over time,Innovation development,Quality Assessed,,,,,,,,,,,Contribution of pollinators analysis method(s) to understand change over time
12855,2425.0,2024.0,"Mechanized direct-seeding for sustainable, economically-viable and climate resilient rice production",Innovation development,Quality Assessed,,,,,,,,,,,"Mechanized direct-seeding for sustainable, economically-viable and climate resilient rice production"
12856,2470.0,2024.0, Innovative strategies to scale up fish powder for the,Innovation development,Quality Assessed,,,,,,,,,,, Innovative strategies to scale up fish powder for the
12857,2482.0,2024.0,Inclusive Business Models ensuring access and adoption to climate smart,Innovation use,Quality Assessed,,,,,,,,,,,Inclusive Business Models ensuring access and adoption to climate smart
12858,2486.0,2024.0,Protocol for the assessment of seed degeneration in late stage,Innovation development,Quality Assessed,,,,,,,,,,,Protocol for the assessment of seed degeneration in late stage
12859,2528.0,2024.0,Contextualized better management practices (BMPs) for Genetically Improved Farmed Tilapia,Innovation development,Quality Assessed,,,,,,,,,,,Contextualized better management practices (BMPs) for Genetically Improved Farmed Tilapia
12860,2530.0,2024.0,Developing Genotype x Environment x Management (GxExM) innovation packages to,Innovation development,Quality Assessed,,,,,,,,,,,Developing Genotype x Environment x Management (GxExM) innovation packages to
12861,2532.0,2024.0,"Guidelines for best management practices (BMPs) in Nile tilapia culture,",Innovation development,Quality Assessed,,,,,,,,,,,"Guidelines for best management practices (BMPs) in Nile tilapia culture,"
12862,2549.0,2024.0,Global and National Agri-Food Market and Policy Analysis Models to,Innovation development,Quality Assessed,,,,,,,,,,,Global and National Agri-Food Market and Policy Analysis Models to
12865,2596.0,2024.0,Demand-side innovations to accelerate varietal turnover (such as seed trial,Innovation development,Quality Assessed,,,,,,,,,,,Demand-side innovations to accelerate varietal turnover (such as seed trial
12867,2637.0,2024.0,Farmers diversify rice variety production and enter markets with premium,Innovation development,Quality Assessed,,,,,,,,,,,Farmers diversify rice variety production and enter markets with premium
12868,2641.0,2024.0,"194 Agriculture Based Light Engineering entities with staff training, technical",Innovation development,Quality Assessed,,,,,,,,,,,"194 Agriculture Based Light Engineering entities with staff training, technical"
12869,2643.0,2024.0,"Agriculturally Based Light Engineering producing farm machinery, spare parts, and",Innovation development,Quality Assessed,,,,,,,,,,,"Agriculturally Based Light Engineering producing farm machinery, spare parts, and"
12870,2645.0,2024.0,Business linkages and scaling activities facilitated between Agriculture Based Light,Innovation development,Quality Assessed,,,,,,,,,,,Business linkages and scaling activities facilitated between Agriculture Based Light
12871,2646.0,2024.0,Smallholder farmer access to new farm mechanization services at scale,Innovation development,Quality Assessed,,,,,,,,,,,Smallholder farmer access to new farm mechanization services at scale
12872,2647.0,2024.0,Strategic financial services and business development for  Agriculture Based,Innovation development,Quality Assessed,,,,,,,,,,,Strategic financial services and business development for  Agriculture Based
12873,2648.0,2024.0,Facilitating business growth and financial access with major banks in,Innovation development,Quality Assessed,,,,,,,,,,,Facilitating business growth and financial access with major banks in
12874,2649.0,2024.0,Cereal Systems Initiative in South Asia – Mechanization Extension Activity,Innovation development,Quality Assessed,,,,,,,,,,,Cereal Systems Initiative in South Asia – Mechanization Extension Activity
12875,2692.0,2024.0,Inoculative releases of the predatory mite Phytoseiulus longipes against the,Innovation development,Quality Assessed,,,,,,,,,,,Inoculative releases of the predatory mite Phytoseiulus longipes against the
12876,2694.0,2024.0,Dynamic evolutionary populations of productivity of mixtures of different of,Innovation development,Quality Assessed,,,,,,,,,,,Dynamic evolutionary populations of productivity of mixtures of different of
12877,2696.0,2024.0,Seed policies and laws in Nature-Positive Solutions' countries: understanding legal,Innovation development,Quality Assessed,,,,,,,,,,,Seed policies and laws in Nature-Positive Solutions' countries: understanding legal
12879,2714.0,2024.0,Farmer participatory validation and adaptation trials for selected biopesticides against,Innovation development,Quality Assessed,,,,,,,,,,,Farmer participatory validation and adaptation trials for selected biopesticides against
12880,2765.0,2024.0,AgriFoodTech and ClimateTech innovation challenges to scout and accelerate science-based,Innovation development,Quality Assessed,,,,,,,,,,,AgriFoodTech and ClimateTech innovation challenges to scout and accelerate science-based
12881,2768.0,2024.0,Integrated management options against parasitic weeds and gall disease on,Innovation development,Quality Assessed,,,,,,,,,,,Integrated management options against parasitic weeds and gall disease on
12882,2770.0,2024.0,Tools for estimating Demand and Supply of Vegetatively Propagated Crops,Innovation development,Quality Assessed,,,,,,,,,,,Tools for estimating Demand and Supply of Vegetatively Propagated Crops
12884,2793.0,2024.0,Conservation methods developed for rare wild bean species,Innovation development,Quality Assessed,,,,,,,,,,,Conservation methods developed for rare wild bean species
12887,2855.0,2024.0,Multiplication of mucuna seed to support initial on-farm validation and,Innovation development,Quality Assessed,,,,,,,,,,,Multiplication of mucuna seed to support initial on-farm validation and
12888,2876.0,2024.0,Vegetatively Propagated Crop decision support tools for clean seed replacement,Innovation development,Quality Assessed,,,,,,,,,,,Vegetatively Propagated Crop decision support tools for clean seed replacement
12889,2887.0,2024.0,Vegetatively Propagated Crop decision support tools for seed distribution programs,Innovation development,Quality Assessed,,,,,,,,,,,Vegetatively Propagated Crop decision support tools for seed distribution programs
12890,2896.0,2024.0,On-farm validation of velvet bean (Mucuna pruriens) as a cover,Innovation development,Quality Assessed,,,,,,,,,,,On-farm validation of velvet bean (Mucuna pruriens) as a cover
12891,2897.0,2024.0,Vitamin A rich banana adoption in Cibitoke and Gitega provinces,Innovation development,Quality Assessed,,,,,,,,,,,Vitamin A rich banana adoption in Cibitoke and Gitega provinces
12892,2917.0,2024.0,Customizing Digital AgroClimate Advisory Mobile Application in Ghana to support,Innovation development,Quality Assessed,,,,,,,,,,,Customizing Digital AgroClimate Advisory Mobile Application in Ghana to support
12893,2923.0,2024.0,A seed potato production planning and business decision tool: streamlining,Innovation development,Quality Assessed,,,,,,,,,,,A seed potato production planning and business decision tool: streamlining
12894,2927.0,2024.0,Amending the CG Climate Information Services for Rwanda using a,Innovation development,Quality Assessed,,,,,,,,,,,Amending the CG Climate Information Services for Rwanda using a
12895,2933.0,2024.0,"Prevalent races of wheat rust pathogens in Lebanon, Morocco, and",Innovation development,Quality Assessed,,,,,,,,,,,"Prevalent races of wheat rust pathogens in Lebanon, Morocco, and"
12898,2953.0,2024.0,Green Pass Protocol to facilitate the exchange of phytosanitary clean,Innovation development,Quality Assessed,,,,,,,,,,,Green Pass Protocol to facilitate the exchange of phytosanitary clean
12905,2965.0,2024.0,Cowpea living much for improving smallholder maize cropping systems in,Innovation development,Quality Assessed,,,,,,,,,,,Cowpea living much for improving smallholder maize cropping systems in
12907,2968.0,2024.0,"Surveillance and monitoring the cereal rust diseases in Lebanon, Morocco,",Innovation development,Quality Assessed,,,,,,,,,,,"Surveillance and monitoring the cereal rust diseases in Lebanon, Morocco,"
12917,3041.0,2024.0,Verbal Protocol Analysis and Photovoice for studying local food environment,Innovation development,Quality Assessed,,,,,,,,,,,Verbal Protocol Analysis and Photovoice for studying local food environment
12918,3042.0,2024.0,Characterizing rural food environments to identify factors influencing access to,Innovation development,Quality Assessed,,,,,,,,,,,Characterizing rural food environments to identify factors influencing access to
12919,3055.0,2024.0,Enhancing Early Generation Root Tubers and Banana Seed Production Planning,Innovation development,Quality Assessed,,,,,,,,,,,Enhancing Early Generation Root Tubers and Banana Seed Production Planning
12921,3082.0,2024.0,Validation and feasibility of AI-assisted dietary assessment mobile app (FRANI),Innovation development,Quality Assessed,,,,,,,,,,,Validation and feasibility of AI-assisted dietary assessment mobile app (FRANI)
12922,3100.0,2024.0,"E-learning course that introduces basic innovation and scaling concepts, and",Innovation development,Quality Assessed,,,,,,,,,,,"E-learning course that introduces basic innovation and scaling concepts, and"
12925,3155.0,2024.0,Suitability tool for scaling aquaculture in small reservoirs using geospatial,Innovation development,Quality Assessed,,,,,,,,,,,Suitability tool for scaling aquaculture in small reservoirs using geospatial
12927,3177.0,2024.0,"Diverse and healthy cropping systems on-station trial protocol at ICAR-CSSRI,",Innovation development,Quality Assessed,,,,,,,,,,,"Diverse and healthy cropping systems on-station trial protocol at ICAR-CSSRI,"
12928,3178.0,2024.0,Pencil stem technology for rapid propagation of cassava seed for,Innovation development,Quality Assessed,,,,,,,,,,,Pencil stem technology for rapid propagation of cassava seed for
12929,3183.0,2024.0,"Innovation Portfolio Management to intentionally manage science, innovation and scaling",Innovation development,Quality Assessed,,,,,,,,,,,"Innovation Portfolio Management to intentionally manage science, innovation and scaling"
12932,3202.0,2024.0,Mapping recommendation domains for agricultural technologies,Innovation development,Quality Assessed,,,,,,,,,,,Mapping recommendation domains for agricultural technologies
12933,3207.0,2024.0,FISHTRAC: Real-time monitoring of water quality dynamics using fish-attached sensors,Innovation development,Quality Assessed,,,,,,,,,,,FISHTRAC: Real-time monitoring of water quality dynamics using fish-attached sensors
12934,3231.0,2024.0,Diversification options in rice-based systems in Cote d'Ivoire,Innovation development,Quality Assessed,,,,,,,,,,,Diversification options in rice-based systems in Cote d'Ivoire
12935,3236.0,2024.0,Towards the establishment of Agroecological Living Landscapes (ALLs) in eight,Innovation development,Quality Assessed,,,,,,,,,,,Towards the establishment of Agroecological Living Landscapes (ALLs) in eight
12939,3246.0,2024.0,Scoring of market smart varieties: A methodology to determine how,Innovation development,Quality Assessed,,,,,,,,,,,Scoring of market smart varieties: A methodology to determine how
12940,3248.0,2024.0,Apical Rooted Cuttings - cost-effective method for potato seed production,Innovation development,Quality Assessed,,,,,,,,,,,Apical Rooted Cuttings - cost-effective method for potato seed production
12943,3302.0,2024.0,Development of a non-invasive seed health testing protocols: standardization of,Innovation development,Quality Assessed,,,,,,,,,,,Development of a non-invasive seed health testing protocols: standardization of
12947,3336.0,2024.0,Decision Support System (DSS) for policy makers to assess and,Innovation development,Quality Assessed,,,,,,,,,,,Decision Support System (DSS) for policy makers to assess and
12949,3352.0,2024.0,Effective biopesticides for the management of aphids and pod borers,Innovation development,Quality Assessed,,,,,,,,,,,Effective biopesticides for the management of aphids and pod borers
12950,3359.0,2024.0,System dynamics model developed to improve coordination between climate action,Innovation development,Quality Assessed,,,,,,,,,,,System dynamics model developed to improve coordination between climate action
12953,3397.0,2024.0,Framework developed to prioritize innovations and technologies with potential to,Innovation development,Quality Assessed,,,,,,,,,,,Framework developed to prioritize innovations and technologies with potential to
12954,3409.0,2024.0,Bread wheat elite lines and new varieties targeted to Egypt,Innovation development,Quality Assessed,,,,,,,,,,,Bread wheat elite lines and new varieties targeted to Egypt
12955,3415.0,2024.0,"Business models for farmers to recover and reuse animal dung,",Innovation development,Quality Assessed,,,,,,,,,,,"Business models for farmers to recover and reuse animal dung,"
12956,3416.0,2024.0,AgIncentives policy indicators of Agri-Food Market and Policy Analysis Models,Innovation development,Quality Assessed,,,,,,,,,,,AgIncentives policy indicators of Agri-Food Market and Policy Analysis Models
12957,3417.0,2024.0,Incentives for adopting best practices in food safety to improve,Innovation development,Quality Assessed,,,,,,,,,,,Incentives for adopting best practices in food safety to improve
12958,3418.0,2024.0,Voluntary food safety grading of vendors in traditional markets,Innovation development,Quality Assessed,True,Yes,Voluntary food safety grading of vendors in traditional markets,Sustainable Food Systems Innovation,Sustainable Animal and Aquatic Foods ,,,,,,Voluntary food safety grading of vendors in traditional markets
12959,3419.0,2024.0,MiniSASS v2: An Artificial Intelligence (AI)-based water quality monitoring system,Innovation development,Quality Assessed,,,,,,,,,,,MiniSASS v2: An Artificial Intelligence (AI)-based water quality monitoring system
12960,3426.0,2024.0,Evidence on the cost-effectiveness and benefits distribution of investments in,Innovation development,Quality Assessed,,,,,,,,,,,Evidence on the cost-effectiveness and benefits distribution of investments in
12961,3440.0,2024.0,Barley elite lines and new varieties targeted to Egypt and,Innovation development,Quality Assessed,,,,,,,,,,,Barley elite lines and new varieties targeted to Egypt and
12962,3442.0,2024.0,Faba bean elite lines and new varieties targeted to Egypt,Innovation development,Quality Assessed,,,,,,,,,,,Faba bean elite lines and new varieties targeted to Egypt
12963,3444.0,2024.0,Chickpea elite lines and new varieties targeted to Egypt and,Innovation development,Quality Assessed,,,,,,,,,,,Chickpea elite lines and new varieties targeted to Egypt and
12964,3446.0,2024.0,Chickpea elite lines and new varieties targeted to Uzbekistan and,Innovation development,Quality Assessed,,,,,,,,,,,Chickpea elite lines and new varieties targeted to Uzbekistan and
12965,3447.0,2024.0,Barley elite lines and new varieties targeted to Uzbekistan and,Innovation development,Quality Assessed,,,,,,,,,,,Barley elite lines and new varieties targeted to Uzbekistan and
12966,3448.0,2024.0,Potato elite lines and new varieties targeted to Uzbekistan and,Innovation development,Quality Assessed,,,,,,,,,,,Potato elite lines and new varieties targeted to Uzbekistan and
12967,3449.0,2024.0,Sweetpotato elite lines and new varieties targeted to Uzbekistan and,Innovation development,Quality Assessed,,,,,,,,,,,Sweetpotato elite lines and new varieties targeted to Uzbekistan and
12968,3450.0,2024.0,Bread winter wheat elite lines and new varieties targeted to,Innovation development,Quality Assessed,,,,,,,,,,,Bread winter wheat elite lines and new varieties targeted to
12969,3451.0,2024.0,Improving food safety through informed demand: System to catalyze consumer,Innovation development,Quality Assessed,,,,,,,,,,,Improving food safety through informed demand: System to catalyze consumer
12975,3459.0,2024.0,Barley elite lines and new varieties targeted to Lebanon and,Innovation development,Quality Assessed,,,,,,,,,,,Barley elite lines and new varieties targeted to Lebanon and
12976,3460.0,2024.0,Durum wheat elite lines and new varieties targeted to Lebanon,Innovation development,Quality Assessed,,,,,,,,,,,Durum wheat elite lines and new varieties targeted to Lebanon
12977,3461.0,2024.0,Bread wheat elite lines and new varieties targeted to Lebanon,Innovation development,Quality Assessed,,,,,,,,,,,Bread wheat elite lines and new varieties targeted to Lebanon
12978,3462.0,2024.0,Lentil elite lines and new varieties targeted to Lebanon and,Innovation development,Quality Assessed,,,,,,,,,,,Lentil elite lines and new varieties targeted to Lebanon and
12979,3463.0,2024.0,Faba bean elite lines and new varieties targeted to Lebanon,Innovation development,Quality Assessed,,,,,,,,,,,Faba bean elite lines and new varieties targeted to Lebanon
12980,3464.0,2024.0,Chickpea elite lines and new varieties targeted to Lebanon and,Innovation development,Quality Assessed,,,,,,,,,,,Chickpea elite lines and new varieties targeted to Lebanon and
12981,3465.0,2024.0,Chickpea elite lines and new varieties targeted to Morocco and,Innovation development,Quality Assessed,,,,,,,,,,,Chickpea elite lines and new varieties targeted to Morocco and
12982,3466.0,2024.0,Barley elite lines and new varieties targeted to Morocco and,Innovation development,Quality Assessed,,,,,,,,,,,Barley elite lines and new varieties targeted to Morocco and
12983,3468.0,2024.0,Bread wheat elite lines and new varieties targeted to Morocco,Innovation development,Quality Assessed,,,,,,,,,,,Bread wheat elite lines and new varieties targeted to Morocco
12984,3469.0,2024.0,Durum wheat elite lines and new varieties targeted to Morocco,Innovation development,Quality Assessed,,,,,,,,,,,Durum wheat elite lines and new varieties targeted to Morocco
12985,3470.0,2024.0,Faba bean elite lines and new varieties targeted to Morocco,Innovation development,Quality Assessed,,,,,,,,,,,Faba bean elite lines and new varieties targeted to Morocco
12986,3471.0,2024.0,Lentil elite lines and new varieties targeted to Morocco and,Innovation development,Quality Assessed,,,,,,,,,,,Lentil elite lines and new varieties targeted to Morocco and
12987,3483.0,2024.0,Production hubs established to promote safe and sustainable production of,Innovation development,Quality Assessed,,,,,,,,,,,Production hubs established to promote safe and sustainable production of
12988,3485.0,2024.0,Improved Agricultural Practices for Smallholder Vegetable Farmers in Benin,Innovation development,Quality Assessed,,,,,,,,,,,Improved Agricultural Practices for Smallholder Vegetable Farmers in Benin
12989,3487.0,2024.0,Introduction of legume vegetables in cereals production areas to improve,Innovation development,Quality Assessed,,,,,,,,,,,Introduction of legume vegetables in cereals production areas to improve
12992,3512.0,2024.0,Faster growing genetically improved farmed tilapia (GIFT) generation 18 produced,Innovation use,Quality Assessed,,,,,,,,,,,Faster growing genetically improved farmed tilapia (GIFT) generation 18 produced
